[19:18:14:668] [INFO] - org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.prepareEmbeddedWebApplicationContext(EmbeddedWebApplicationContext.java:276) - Root WebApplicationContext: initialization completed in 4374 ms
[19:18:16:793] [INFO] - org.springframework.boot.web.servlet.AbstractFilterRegistrationBean.configure(AbstractFilterRegistrationBean.java:258) - Mapping filter: 'characterEncodingFilter' to: [/*]
[19:18:16:794] [INFO] - org.springframework.boot.web.servlet.AbstractFilterRegistrationBean.configure(AbstractFilterRegistrationBean.java:258) - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
[19:18:16:794] [INFO] - org.springframework.boot.web.servlet.AbstractFilterRegistrationBean.configure(AbstractFilterRegistrationBean.java:258) - Mapping filter: 'httpPutFormContentFilter' to: [/*]
[19:18:16:795] [INFO] - org.springframework.boot.web.servlet.AbstractFilterRegistrationBean.configure(AbstractFilterRegistrationBean.java:258) - Mapping filter: 'requestContextFilter' to: [/*]
[19:18:16:797] [INFO] - org.springframework.boot.web.servlet.AbstractFilterRegistrationBean.configure(AbstractFilterRegistrationBean.java:258) - Mapping filter: 'springSecurityFilterChain' to: [/*]
[19:18:16:798] [INFO] - org.springframework.boot.web.servlet.AbstractFilterRegistrationBean.configure(AbstractFilterRegistrationBean.java:271) - Mapping filter: 'ProjectFilter' to urls: [/*]
[19:18:16:798] [INFO] - org.springframework.boot.web.servlet.AbstractFilterRegistrationBean.configure(AbstractFilterRegistrationBean.java:258) - Mapping filter: 'corsFilter' to: [/*]
[19:18:16:798] [INFO] - org.springframework.boot.web.servlet.ServletRegistrationBean.onStartup(ServletRegistrationBean.java:190) - Mapping servlet: 'dispatcherServlet' to [/]
[19:18:16:800] [INFO] - org.springframework.boot.web.servlet.ServletRegistrationBean.onStartup(ServletRegistrationBean.java:190) - Mapping servlet: 'CXFServlet' to [/services/*]
[19:18:20:793] [INFO] - org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.buildServiceFromClass(ReflectionServiceFactoryBean.java:434) - Creating Service {http://advise.webService.platform.liangxin.com}IProjectRecordWebService from class com.liangxin.platform.webService.advise.IProjectRecordWedService
[19:18:21:262] [INFO] - org.apache.cxf.endpoint.ServerImpl.initDestination(ServerImpl.java:85) - Setting the server's publish address to be /outInterface/projectRecordWedService
[19:18:21:293] [INFO] - org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean.buildServiceFromClass(ReflectionServiceFactoryBean.java:434) - Creating Service {http://advise.webService.platform.liangxin.com}IStrategyAccordWebService from class com.liangxin.platform.webService.advise.IStrategyAccordWebService
[19:18:21:341] [INFO] - org.apache.cxf.endpoint.ServerImpl.initDestination(ServerImpl.java:85) - Setting the server's publish address to be /outInterface/strategyAccordWedService
[19:18:21:751] [INFO] - org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(RequestMappingHandlerAdapter.java:534) - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@78aa1f72: startup date [Mon Apr 01 19:18:10 CST 2019]; root of context hierarchy
[19:18:21:836] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/Anniversary/ignoreById],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.AnniversaryControler.ignoreById(com.liangxin.platform.common.entity.advise.generate.pt.Anniversary)
[19:18:21:837] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/Anniversary/GetAnniversaryAll],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.AnniversaryControler.getAnniversaryAll(com.liangxin.platform.common.entity.advise.inputParam.anniversary.AnniversaryInput)
[19:18:21:838] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/Birthday/ignoreById],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.BirthdayControler.ignoreById(com.liangxin.platform.common.entity.advise.generate.pt.Birthday)
[19:18:21:838] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/Birthday/GetBirthdayAll],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.BirthdayControler.getBirthdayAll(com.liangxin.platform.common.entity.advise.inputParam.birthday.BirthdayInput)
[19:18:21:840] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/capital/add],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.CapitalControler.add(com.liangxin.platform.common.entity.advise.generate.pt.Capital)
[19:18:21:841] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/capital/update],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.CapitalControler.update(com.liangxin.platform.common.entity.advise.generate.pt.Capital)
[19:18:21:841] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/capital/getCapitalList],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.CapitalControler.getCapitalListForOA(com.liangxin.platform.common.entity.advise.inputParam.capital.InputForOAList)
[19:18:21:841] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/HLHAPIDEV/capital/outInterface/isCapital],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.CapitalControler.isCapital(java.lang.String)
[19:18:21:842] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/capital/{pId}],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.CapitalControler.getById(java.lang.String)
[19:18:21:842] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/HLHAPIDEV/capital/outInterface/getCapitalList],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.CapitalControler.getCapitalList()
[19:18:21:843] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/employee/outInterface/getAll],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.care.EmployeeControler.getBirthdayAll()
[19:18:21:843] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/employee/readyToMember/getAll],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.care.EmployeeControler.readyToMember(com.liangxin.platform.common.entity.care.inputParas.ExpireAndMemberInput)
[19:18:21:844] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/employee/contractExpire/getAll],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.care.EmployeeControler.contractExpire(com.liangxin.platform.common.entity.care.inputParas.ExpireAndMemberInput)
[19:18:21:845] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/contractExpire/update],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.ContractExpireControler.update(com.liangxin.platform.common.entity.advise.generate.pt.ContractExpireRecord)
[19:18:21:845] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/contractExpire/insert],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.ContractExpireControler.insert(com.liangxin.platform.common.entity.advise.generate.pt.ContractExpireRecord)
[19:18:21:848] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/index],methods=[GET]}" onto public java.lang.String com.liangxin.platform.controler.IndexControler.index()
[19:18:21:848] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/greet],methods=[GET]}" onto public java.lang.String com.liangxin.platform.controler.IndexControler.getJsp(java.lang.String,org.springframework.ui.Model)
[19:18:21:849] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/bonus/push],methods=[POST]}" onto public void com.liangxin.platform.controler.KPI.BonusControler.push(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[19:18:21:849] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/bonus/upload],methods=[POST]}" onto public java.lang.String com.liangxin.platform.controler.KPI.BonusControler.upload(org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[19:18:21:850] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/EmployeeBonus/GetEmployeeBonusbysid/{sid}],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.EmployeePerformanceBonusbysidControler.getEmployeeBonusbysid(java.lang.String)
[19:18:21:850] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/ZZKPIAPIDEV/outInterface/GetTeamEmployeebysid]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.EmployeePerformanceBonusbysidControler.getEmployeePerformanceBonusbysid(java.lang.String)
[19:18:21:852] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/EmployeePerformance/GetEmployeePerformance/{sid}],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.EmployeePerformanceBonusControler.getEmployeePerformanceImportbysid(java.lang.String)
[19:18:21:852] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/ZZKPIAPIDEV/outInterface/GetTeamEmployee]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.EmployeePerformanceBonusControler.getEmployeePerformanceBonus(java.lang.String,java.lang.String)
[19:18:21:852] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/EmployeeBonus/GetEmployeeBonus],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.EmployeePerformanceBonusControler.getEmployeeBonusList(com.liangxin.platform.common.entity.KPI.inputParam.InputPage)
[19:18:21:853] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/TeamEmployee/GetTeamEmployee],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.EmployeePerformanceBonusControler.getTeamEmployee(com.liangxin.platform.common.entity.KPI.inputParam.InputPage)
[19:18:21:854] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/ZZKPIAPIDEV/outInterface/GetTeamBonusbysid]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.TeamOverfulfillBonusbysidControler.getTeamOverfulfillBonusbysid(java.lang.String)
[19:18:21:854] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/GetTeamBonus/GetTeamBonusbysid/{sid}],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.TeamOverfulfillBonusbysidControler.getTeamOverfulfillBonusList(java.lang.String)
[19:18:21:855] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/ZZKPIAPIDEV/outInterface/GetTeamBonus]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.TeamOverfulfillBonusControler.getTeamOverfulfillBonus()
[19:18:21:856] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/TeamBonus/GetTeamBonus],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.TeamOverfulfillBonusControler.getTeamBonus(com.liangxin.platform.common.entity.KPI.inputParam.InputPage)
[19:18:21:857] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/TeamPerformance/GetTeamPerformancebysid/{sid}],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.TeamPerformancebysidControler.getTeamPerformanceListbysid(java.lang.String)
[19:18:21:857] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/ZZKPIAPIDEV/outInterface/GetTeamPerformancebysid]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.TeamPerformancebysidControler.getTeamPerformancebysid(java.lang.String)
[19:18:21:858] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/TeamPerformance/GetTeamPerformance],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.TeamPerformanceControler.getEmployeeBonusList(com.liangxin.platform.common.entity.KPI.inputParam.InputPage)
[19:18:21:858] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/ZZKPIAPIDEV/outInterface/GetTeamPerformance]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.KPI.TeamPerformanceControler.getTeamPerformance()
[19:18:21:859] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/],methods=[GET]}" onto public java.lang.String com.liangxin.platform.controler.LoginControler.loadPage()
[19:18:21:859] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/loginOut],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LoginControler.loginOut(javax.servlet.http.HttpServletRequest)
[19:18:21:860] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/login],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LoginControler.login(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[19:18:21:860] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/loginPage],methods=[GET]}" onto public java.lang.String com.liangxin.platform.controler.LoginControler.loginPage()
[19:18:21:860] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/outInterface/login],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LoginControler.outInterfaceLogin(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
[19:18:21:861] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/YKTAPIDEV/outInterface/AddMoney]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LXYKT.AddMoneyControler.getAddMoneyInfo(java.lang.String,java.lang.String,java.lang.String)
[19:18:21:862] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/YKTAPIDEV/outInterface/AnnualLeave]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LXYKT.AnnualLeaveControler.getAnnualLeaveInfo(java.lang.String)
[19:18:21:862] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/YKTAPIDEV/outInterface/AttendanceResults]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LXYKT.AttendanceResultsControler.getAttendanceResultsInfo(java.lang.String,java.lang.String,java.lang.String)
[19:18:21:863] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/YKTAPIDEV/outInterface/Consume]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LXYKT.ConsumeControler.getConsumeInfo(java.lang.String,java.lang.String,java.lang.String)
[19:18:21:864] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/YKTAPIDEV/outInterface/Dayoff]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LXYKT.DayoffControler.getDayoffInfo(java.lang.String,java.lang.String,java.lang.String)
[19:18:21:865] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/YKTAPIDEV/outInterface/OtUse]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LXYKT.OtUseControler.getOtUseInfo(java.lang.String,java.lang.String,java.lang.String)
[19:18:21:866] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/YKTAPIDEV/outInterface/Overtime]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LXYKT.OverTimeControler.getOverTimeInfo(java.lang.String,java.lang.String,java.lang.String)
[19:18:21:867] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/YKTAPIDEV/outInterface/SwingCard]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LXYKT.SwingCardControler.getSwingCardInfo(java.lang.String,java.lang.String,java.lang.String)
[19:18:21:868] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/YKTAPIDEV/outInterface/Trip]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.LXYKT.TripControler.getTripInfo(java.lang.String,java.lang.String,java.lang.String)
[19:18:21:869] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/menu/add],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.MenuControler.add(com.liangxin.platform.common.entity.advise.generate.pt.Menu)
[19:18:21:869] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/menu/{pId}],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.MenuControler.update(java.lang.String)
[19:18:21:869] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/menu/update],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.MenuControler.update(com.liangxin.platform.common.entity.advise.generate.pt.Menu)
[19:18:21:870] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/menu/getAll],methods=[POST]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.MenuControler.getAll(com.liangxin.platform.common.entity.advise.inputParam.menu.InputMenuForOAList)
[19:18:21:870] [INFO] - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(AbstractHandlerMethodMapping.java:543) - Mapped "{[/menu/getAllConsistRole/{pRoleId}],methods=[GET]}" onto public com.liangxin.platform.common.entity.advise.outputResult.OutResult com.liangxin.platform.controler.MenuControler.getAllConsistRole(java.lang.String)
